dim1,dim2,word
0.00023563573,-0.0098665375,the
0.023310129,0.019939065,of
0.018574182,0.00751514,and
0.048500206,0.025900517,to
0.014290426,-0.0008783918,a
0.044395592,0.022561152,in
0.032688133,0.013880733,that
0.051317252,0.011282839,is
0.0566191,0.0027766377,was
0.03837819,0.014791086,he
0.04084959,0.02008459,for
0.0241038,0.004316151,it
0.041364104,0.017645419,with
0.043416757,0.024033785,as
0.0010046661,-0.009241343,his
0.04564068,0.025998265,on
0.0068903863,-0.113853455,be
0.042515084,0.022442833,at
0.03949532,0.01927495,by
0.0367828,0.015311994,i
-0.0005804002,-0.00760429,this
0.056950808,-0.0048814043,had
0.050321043,0.029006958,not
0.052529067,-0.0075823218,are
0.039700434,0.017517388,but
0.039194196,0.022561088,from
-0.00041721016,0.005322449,or
0.019525666,-0.101916,have
0.0114043355,-0.00269996,an
0.037079573,0.014777662,they
-0.0032396293,-0.0073978086,which
0.0073263906,0.0040553114,one
0.022643792,-0.008808142,you
0.05234425,-0.017239965,were
0.0034565749,-0.037619382,her
0.0064684283,-0.004499648,all
0.037137643,0.015137138,she
0.039423738,0.01920911,there
0.05748531,-0.0020307016,would
0.00072367396,-0.0107806,their
0.03859925,0.014963749,we
0.006046713,-0.08829839,him
0.05259353,0.011277944,been
0.0551488,0.0018589835,has
0.03850125,0.016951755,when
0.036750287,0.012802582,who
0.052459005,-0.00086080865,will
0.008060284,0.014523989,more
0.037546534,0.017787198,if
0.049099613,0.02653931,no
0.047617026,0.02615231,out
0.044593636,0.022523146,so
0.058065712,-0.003213001,said
0.016127026,-0.0034702944,what
0.04686465,0.024688736,up
0.0011383715,-0.008201681,its
0.0289296,0.012696912,about
0.044057544,0.022288693,into
0.0045380304,0.016577557,than
-0.0042708945,-0.011556525,them
0.054610122,-0.018976703,can
-0.016641164,0.01239295,only
-0.022316573,0.008957513,other
-0.024115017,0.007853878,new
0.0065063997,-0.009309891,some
0.05758629,-0.009770849,could
-0.027859392,0.010593866,time
-0.0041533033,-0.007399767,these
-0.023078138,0.0073440946,two
0.05488154,-0.00015967873,may
0.03814569,0.014093385,then
0.0097567085,-0.108552784,do
-0.02997064,0.010234379,first
0.0020651787,-0.011613267,any
0.0034641083,-0.007889089,my
0.045502923,0.02019072,now
0.0005026497,-0.0071525904,such
0.046647027,0.012914653,like
-0.0016550239,-0.008236841,our
0.047903504,0.0257255,over
-0.025237292,0.012296021,man
0.0065693394,-0.100201435,me
